Mapping-Type,Cacheline-Num,Hit-%,Cycles/M.A.
Fully-Associative,16,96.94626506615607,28.293246925399515
Direct,16,94.10609519601346,31.36644819206127
Fully-Associative,32,98.86513979948843,26.749448740187574
Direct,32,96.25437332784523,29.62123305794843
Fully-Associative,64,99.66301600673968,26.389508132979067
Direct,64,97.9068109649407,28.344047696195968
Fully-Associative,128,99.8799025494973,26.164567820745976
Direct,128,98.88137803246063,27.297429914559242
