Mapping-Type,Alg,Hit-%,Cycles/M.A.
Fully-Associative,merge,96.94626506615607,28.293246925399515
Direct,merge,94.10609519601346,31.36644819206127
Fully-Associative,radix,95.25610175317979,28.757092111509436
Direct,radix,91.33395537658171,32.993517654569565
