Mapping-Type,Mem-Latency,Hit-%,Cycles/M.A.
Fully-Associative,1000,96.94626506615607,277.36902570145077
Direct,1000,94.10609519601346,306.01671698946905
Fully-Associative,1,96.94626506615607,9.106733436433709
Direct,1,94.10609519601346,7.521761543559909
Fully-Associative,10,96.94626506615607,9.450990500036822
Direct,10,94.10609519601346,8.157596288386479
Fully-Associative,100,96.94626506615607,28.293246925399515
Direct,100,94.10609519601346,31.36644819206127
