Mapping-Type,Cacheline-Size,Hit-%,Cycles/M.A.
Fully-Associative,1000,99.52131968480742,25.613349043866755
Direct,1000,99.52131968480742,25.61307901907357
Fully-Associative,10000,99.52131968480742,25.613349043866755
Direct,10000,99.52131968480742,25.61307901907357
Fully-Associative,10,92.82961435549991,32.60456096423399
Direct,10,80.09180842968308,46.87576404742617
Fully-Associative,100,98.92235559810491,26.236271694037363
Direct,100,97.47649556913862,27.76431745096595
