Algorithm,Size,Hit-%,Cycles/M.A.
merge,1000,77.21493313384558,55.393239366872216
merge,10,75.86037364798426,60.92182890855457
merge,100,79.48302525959201,52.79735866656848
radix,1000,63.67640749041048,70.51306439108649
radix,10,73.64781978365116,61.30957956953273
radix,100,58.82728478122084,76.19212951595213
