Cacheline-Size,Hit-%,Cycles/M.A.
256,99.60649115475692,26.623763755397686
512,99.86506161002805,26.389510315684813
32,95.98388851321553,29.778349454620294
64,98.03317996241333,28.136057287278856
128,99.23823902824006,26.876814329341524
16,86.10108746348529,40.60311264943417
